count,post_month,price_euro,dist_km,brand,transmission,post_time,year,fuel,model,post_day
0,mai,6490,76000,Renault,Manuelle,16:22,2010,Diesel,Clio,24
1,mai,13990,136000,Bmw,Automatique,16:22,2011,Diesel,Serie 3,24
2,mai,6990,118000,Renault,Manuelle,16:21,2007,Diesel,Trafic,24
3,mai,5490,166000,Ford,Manuelle,16:19,2008,Diesel,C-max,24
4,mai,1500,268659,Renault,Manuelle,14:54,2002,Diesel,Laguna,24
5,mai,6790,106180,Seat,Manuelle,14:52,2011,Diesel,Ibiza,24
6,mai,2800,175000,Saab,Automatique,11:35,2004,Diesel,9-3,24
7,mai,7250,43000,Fiat,Manuelle,10:43,2013,Diesel,Punto,24
8,mai,8990,180000,Subaru,Manuelle,10:33,2010,Diesel,Forester,24
9,mai,11990,122441,Audi,Automatique,10:33,2007,Diesel,A4,24
10,mai,2490,230000,Renault,Manuelle,10:33,2002,Diesel,Espace,24
11,mai,8490,95000,Peugeot,Manuelle,10:33,2008,Diesel,207,24
12,mai,2590,210000,Peugeot,Manuelle,10:33,2002,Diesel,307,24
13,mai,6990,110000,Nissan,Manuelle,10:33,2011,Diesel,Note,24
14,mai,4990,120000,Renault,Manuelle,10:33,2010,Diesel,Clio,24
15,mai,11990,124000,Volvo,Manuelle,10:30,2012,Diesel,unknown,24
16,mai,2490,141000,Ford,Manuelle,10:30,2004,Essence,Fiesta,24
17,mai,1990,152000,Renault,Manuelle,10:30,2003,Essence,Twingo,24
18,mai,3990,99999,Renault,Manuelle,10:30,2005,Essence,Megane,24
19,mai,3490,142000,Renault,Manuelle,10:30,2006,Essence,Megane,24
20,mai,3790,157000,Ford,Manuelle,10:30,2004,Essence,C-max,24
21,mai,6990,179000,Citroen,Manuelle,10:30,2010,Diesel,C5,24
22,mai,4490,156000,Renault,Manuelle,10:30,2006,Diesel,Scenic,24
23,mai,8990,180369,Bmw,Manuelle,10:30,2005,Diesel,X3,24
24,mai,3490,220000,Citroen,Automatique,10:30,2006,Diesel,C5,24
25,mai,6990,130000,Mitsubishi,Manuelle,10:30,2008,Diesel,Lancer,24
26,mai,5490,138000,Citroen,Manuelle,10:30,2007,Diesel,C4,24
27,mai,6490,139000,Toyota,Manuelle,10:30,2007,Diesel,Corolla,24
28,mai,8990,70000,Ford,Manuelle,10:30,2011,Diesel,C-max,24
29,mai,5490,70000,Opel,Manuelle,10:30,2008,Essence,Corsa,24
30,mai,2690,194000,Renault,Manuelle,10:30,2003,Diesel,Clio,24
31,mai,6990,114000,Citroen,Manuelle,10:30,2010,Diesel,unknown,24
32,mai,5990,171000,Mitsubishi,Manuelle,10:30,2007,Diesel,Grandis,24
33,mai,8990,116000,Lancia,Automatique,10:30,2011,Diesel,Delta,24
34,mai,6990,108000,Citroen,Automatique,10:30,2008,Diesel,unknown,24
35,mai,1400,239000,Volvo,Manuelle,09:50,2001,Essence,S80,24
36,mai,5500,150000,Renault,Manuelle,23:10,2009,Diesel,Megane,23
37,mai,2700,98000,Ford,Manuelle,20:25,2003,Essence,Fusion,23
38,mai,5500,150100,Volkswagen,Manuelle,17:53,2007,Diesel,Golf,23
39,mai,3490,144000,Ford,Manuelle,17:43,2005,Essence,Fusion,23
40,mai,6000,95000,Ford,Manuelle,17:03,2008,Diesel,C-max,23
41,mai,15999,134000,Volkswagen,Manuelle,16:20,2014,Diesel,Golf,23
42,mai,10500,102000,Bmw,Manuelle,14:12,2009,Diesel,Serie 1,23
43,mai,1800,132000,Ford,Manuelle,13:02,2007,Essence,Fiesta,23
44,mai,2900,113000,Renault,Manuelle,12:41,2007,Diesel,Clio,23
45,mai,11500,55700,Citroen,Automatique,11:00,2012,Diesel,C4,23
46,mai,unknown,111000,Volkswagen,Manuelle,07:51,1973,Essence,unknown,23
47,mai,12700,18000,Renault,Manuelle,23:42,2013,Diesel,Clio,22
48,mai,5500,146000,Peugeot,Manuelle,21:18,2008,Diesel,308,22
49,mai,1200,296000,Ford,Manuelle,21:07,2000,Diesel,Mondeo,22
50,mai,5800,80500,Chrysler,Manuelle,20:39,2005,Diesel,Pt Cruiser,22
51,mai,11290,162000,Bmw,Manuelle,19:45,2007,Diesel,X3,22
52,mai,5700,175300,Peugeot,Manuelle,18:35,2007,Diesel,308,22
53,mai,10990,180000,Volvo,Automatique,17:52,2005,Diesel,Xc90,22
54,mai,200,250000,Lancia,Manuelle,17:20,2000,Diesel,unknown,22
55,mai,1000,189000,Citroen,Manuelle,16:37,2000,Essence,Saxo,22
56,mai,3600,147000,Opel,Manuelle,16:18,2005,Essence,Tigra,22
57,mai,10800,138315,Mercedes,Manuelle,15:22,2007,Diesel,Classe E,22
58,mai,3950,105000,Toyota,Automatique,13:35,2004,Essence,Yaris,22
59,mai,1299,167000,Renault,Manuelle,12:51,1995,Essence,Laguna,22
60,mai,500,245000,Peugeot,Manuelle,08:05,1994,Diesel,306,22
61,mai,4990,141000,Peugeot,Manuelle,17:17,2006,Diesel,307,21
62,mai,6490,94000,Fiat,Manuelle,17:14,2010,Diesel,Bravo,21
63,mai,11990,149000,Mazda,Manuelle,17:13,2010,Diesel,Cx-7,21
64,mai,1200,132000,Citroen,Manuelle,16:46,2001,Diesel,Xsara,21
65,mai,10800,38900,Peugeot,Manuelle,15:36,2014,Essence,208,21
66,mai,5900,88500,Renault,Manuelle,14:50,2009,Diesel,Clio,21
67,mai,16200,79900,Audi,Manuelle,14:07,2011,Diesel,A4,21
68,mai,450,220000,Peugeot,Manuelle,11:52,1997,Diesel,406,21
69,mai,5900,104660,Skoda,Manuelle,10:41,2010,Diesel,Fabia,21
70,mai,4800,113000,Opel,Manuelle,08:54,2008,Diesel,Meriva,21
71,mai,2700,156000,Peugeot,Manuelle,22:52,2001,Diesel,Boxer,20
72,mai,18000,46000,Kia,Manuelle,20:11,2012,Diesel,Sportage,20
73,mai,9990,79000,Volkswagen,Manuelle,19:50,2010,Diesel,Golf,20
74,mai,9990,106000,Peugeot,Manuelle,18:28,2010,Diesel,3008,20
75,mai,6990,93400,Hyundai,Manuelle,18:27,2012,Diesel,I20,20
76,mai,6990,90000,Renault,Manuelle,17:40,2010,Diesel,Clio,20
77,mai,8500,59890,Kia,Manuelle,17:04,2011,Essence,Venga,20
78,mai,3500,102000,Peugeot,Manuelle,16:15,2007,Essence,107,20
79,mai,6990,170000,Jaguar,Manuelle,14:54,2005,Diesel,X-type,20
80,mai,4990,115000,Seat,Manuelle,14:54,2009,Diesel,Ibiza,20
81,mai,7990,110252,Ford,Manuelle,10:58,2012,Diesel,Focus,20
82,mai,8990,95000,Renault,Manuelle,10:43,2011,Diesel,Scenic,20
83,mai,8490,121000,Mini,Manuelle,10:43,2007,Diesel,Mini,20
84,mai,4590,115000,Citroen,Manuelle,10:43,2005,Essence,C4,20
85,mai,10990,69000,Citroen,Manuelle,10:43,2011,Essence,Ds3,20
86,mai,6490,124000,Mercedes,Manuelle,10:43,2007,Diesel,Classe A,20
87,mai,2990,199999,Fiat,Manuelle,10:43,2006,Diesel,Croma,20
88,mai,3990,84000,Fiat,Manuelle,10:43,2008,Essence,Panda,20
89,mai,2800,94450,Volkswagen,Manuelle,00:20,2000,Essence,Polo,20
90,mai,4000,106000,Renault,Manuelle,19:29,2007,Diesel,Clio,19
91,mai,990,278000,Opel,Manuelle,18:49,2001,Diesel,Astra,19
92,mai,600,170376,Renault,Manuelle,18:47,1994,Diesel,Clio,19
93,mai,1490,175000,Peugeot,Manuelle,18:00,2002,Essence,206,19
94,mai,1700,240000,Peugeot,Manuelle,16:45,1998,Essence,206,19
95,mai,4490,123400,Volkswagen,Manuelle,16:14,2004,Diesel,Polo,19
96,mai,1200,290000,Renault,Manuelle,15:34,2001,Diesel,Clio,19
97,mai,1380,215000,Peugeot,Manuelle,14:48,2001,Diesel,206,19
98,mai,1000,220000,Fiat,Manuelle,14:25,1996,Diesel,Punto,19
99,mai,1300,203947,Renault,Manuelle,13:17,2001,Diesel,Scenic,19
100,mai,3700,70000,Chevrolet,Manuelle,11:33,2009,Essence,Matiz,19
101,mai,2500,210,Renault,Manuelle,10:22,2005,Diesel,Megane,19
102,mai,14200,79000,Renault,Manuelle,17:45,2012,Diesel,Megane,18
103,mai,3900,85000,Ford,Manuelle,14:44,2009,Essence,Ka,18
104,mai,22490,60000,Audi,Manuelle,13:45,2012,Diesel,A5,18
105,mai,13500,124000,Audi,Manuelle,09:28,2011,Diesel,A3,18
106,mai,500,108388,Renault,Manuelle,23:38,1995,Essence,Twingo,17
107,mai,6000,102000,Peugeot,Manuelle,22:32,2006,Diesel,307,17
108,mai,5650,195000,Volkswagen,Manuelle,21:09,2007,Diesel,Passat,17
109,mai,9990,90948,Volkswagen,Manuelle,18:09,2011,Diesel,Golf,17
110,mai,21700,37000,Nissan,Manuelle,17:21,2014,Diesel,Qashqai,17
111,mai,5490,120490,Mazda,Manuelle,15:43,2010,Diesel,2,17
112,mai,5990,84200,Citroen,Manuelle,11:23,2006,Diesel,C4,17
113,mai,4900,150000,Kia,Manuelle,22:56,2005,Diesel,Sorento,16
114,mai,5200,134700,Peugeot,Manuelle,15:57,2012,Diesel,207,16
